_id,workPid,dataPid
1903-DDD,https://mskgent.be/collection/work/id/1903-DDD,https://mskgent.be/collection/work/data/1903-DDD
1939-O-3,https://mskgent.be/collection/work/id/1939-O-3,https://mskgent.be/collection/work/data/1939-O-3
1932-BT,https://mskgent.be/collection/work/id/1932-BT,https://mskgent.be/collection/work/data/1932-BT
1949-AL-132,https://mskgent.be/collection/work/id/1949-AL-132,https://mskgent.be/collection/work/data/1949-AL-132
1999-AH,https://mskgent.be/collection/work/id/1999-AH,https://mskgent.be/collection/work/data/1999-AH
1973-AB,https://mskgent.be/collection/work/id/1973-AB,https://mskgent.be/collection/work/data/1973-AB
1973-W-1,https://mskgent.be/collection/work/id/1973-W-1,https://mskgent.be/collection/work/data/1973-W-1
1958-AH,https://mskgent.be/collection/work/id/1958-AH,https://mskgent.be/collection/work/data/1958-AH
S-67,https://mskgent.be/collection/work/id/S-67,https://mskgent.be/collection/work/data/S-67
1921-EO,https://mskgent.be/collection/work/id/1921-EO,https://mskgent.be/collection/work/data/1921-EO
1914-FU,https://mskgent.be/collection/work/id/1914-FU,https://mskgent.be/collection/work/data/1914-FU
1999-AQ,https://mskgent.be/collection/work/id/1999-AQ,https://mskgent.be/collection/work/data/1999-AQ
1951-AH-46,https://mskgent.be/collection/work/id/1951-AH-46,https://mskgent.be/collection/work/data/1951-AH-46
1956-B,https://mskgent.be/collection/work/id/1956-B,https://mskgent.be/collection/work/data/1956-B
1929-X,https://mskgent.be/collection/work/id/1929-X,https://mskgent.be/collection/work/data/1929-X
2005-BA,https://mskgent.be/collection/work/id/2005-BA,https://mskgent.be/collection/work/data/2005-BA
1942-Q,https://mskgent.be/collection/work/id/1942-Q,https://mskgent.be/collection/work/data/1942-Q
1920-G,https://mskgent.be/collection/work/id/1920-G,https://mskgent.be/collection/work/data/1920-G
1911-EX,https://mskgent.be/collection/work/id/1911-EX,https://mskgent.be/collection/work/data/1911-EX
1952-AJ,https://mskgent.be/collection/work/id/1952-AJ,https://mskgent.be/collection/work/data/1952-AJ
1932-AQ,https://mskgent.be/collection/work/id/1932-AQ,https://mskgent.be/collection/work/data/1932-AQ
1943-K,https://mskgent.be/collection/work/id/1943-K,https://mskgent.be/collection/work/data/1943-K
1909-KKK,https://mskgent.be/collection/work/id/1909-KKK,https://mskgent.be/collection/work/data/1909-KKK
1949-AZ-15,https://mskgent.be/collection/work/id/1949-AZ-15,https://mskgent.be/collection/work/data/1949-AZ-15
2013-JC,https://mskgent.be/collection/work/id/2013-JC,https://mskgent.be/collection/work/data/2013-JC
1911-HN,https://mskgent.be/collection/work/id/1911-HN,https://mskgent.be/collection/work/data/1911-HN
1969-H,https://mskgent.be/collection/work/id/1969-H,https://mskgent.be/collection/work/data/1969-H
1972-L-5,https://mskgent.be/collection/work/id/1972-L-5,https://mskgent.be/collection/work/data/1972-L-5
1902-C,https://mskgent.be/collection/work/id/1902-C,https://mskgent.be/collection/work/data/1902-C
1988-C,https://mskgent.be/collection/work/id/1988-C,https://mskgent.be/collection/work/data/1988-C
2003-BV,https://mskgent.be/collection/work/id/2003-BV,https://mskgent.be/collection/work/data/2003-BV
1932-FP,https://mskgent.be/collection/work/id/1932-FP,https://mskgent.be/collection/work/data/1932-FP
1992-O,https://mskgent.be/collection/work/id/1992-O,https://mskgent.be/collection/work/data/1992-O
2009-K-32,https://mskgent.be/collection/work/id/2009-K-32,https://mskgent.be/collection/work/data/2009-K-32
1911-FK,https://mskgent.be/collection/work/id/1911-FK,https://mskgent.be/collection/work/data/1911-FK
1914-HF,https://mskgent.be/collection/work/id/1914-HF,https://mskgent.be/collection/work/data/1914-HF
